PubMed_ID,Title_abstract
9111037.0,"Interaction of HIV-1 Tat protein with heparin. Role of the backbone structure, sulfation, and size.. Human immunodeficiency virus type 1 (HIV-1) Tat protein is released from infected cells. Extracellular Tat enters the cell where it stimulates the transcriptional activity of HIV-long terminal repeat (LTR) and of endogenous genes. Heparin modulates the angiogenic (Albini, A., Benelli, R., Presta, M., Rusnati, M., Ziche, M., Rubartelli, A., Paglialunga, G., Bussolino, F., and Noonan, D. (1996) Oncogene 12, 289-297) and transcriptional (Mann, D. A., and Frankel, A. D. (1991) EMBO J. 10, 1733-1739) activity of extracellular Tat. Here we demonstrate that heparin binds specifically to recombinant HIV-1 Tat produced as glutathione S-transferase (GST) fusion protein and immobilized on glutathione-agarose beads. Heparin and heparan sulfate (HS), but not dermatan sulfate, chondroitin sulfates A and C, hyaluronic acid, and K5 polysaccharide, competed with 3H-labeled heparin for binding to immobilized GST-Tat and inhibited HIV-LTR transactivation induced by extracellular GST-Tat. Selective 2-O-, 6-O-, total-O-desulfation, or N-desulfation/N-acetylation dramatically reduced the capacity of heparin to bind GST-Tat. Totally-O-desulfated and 2-O-desulfated heparins also showed a reduced capacity to inhibit the transactivating activity of GST-Tat. Very low molecular weight heparins showed a significant decrease in their capacity to bind GST-Tat and to inhibit its LTR transactivating activity when compared with conventional 13.6-kDa heparin. However, when 3.0-kDa heparin was affinity chromatographed on immobilized GST-Tat to isolate binding and non-binding subfractions, the Tat-bound fraction was >/=1,000 times more potent than the unbound fraction in inhibiting the transactivating activity of GST-Tat. The results demonstrate that Tat interacts in a size-dependent manner with heparin/HS and that high affinity Tat-heparin interaction requires at least some 2-O-, 6-O-, and N-positions to be sulfated. The Tat binding activity of the glycosaminoglycans tested correlates with their capacity to affect the transactivating activity of extracellular Tat, indicating the possibility to design specific heparin/HS-like structures with Tat-antagonist activity."
9792716.0,"Multiple heparan sulfate chains are required for optimal syndecan-1 function.. Syndecans have three highly conserved sites available for heparan sulfate attachment. To determine if all three sites are required for normal function, a series of mutated syndecans having two, one, or no heparan sulfate chains were expressed in ARH-77 cells. Previously, we demonstrated that expression of wild-type syndecan-1 on these myeloma cells mediates cell-matrix and cell-cell adhesion and inhibits cell invasion into collagen gels. Here we show that to optimally mediate each of these activities, all three sites of heparan sulfate attachment are required. Generally, an increasing loss of syndecan-1 function occurs as the number of heparan sulfate attachment sites decreases. This loss of function is not the result of a decrease in either the total amount of cell surface heparan sulfate or syndecan-1 core protein. In regard to cell invasion, cells expressing syndecan-1 bearing a single heparan sulfate attachment site exhibit a hierarchy of function based upon the position of the site within the core protein; the presence of an available attachment site at serine 47 confers the greatest level of activity, while serine 37 contributes little to syndecan-1 function. However, when all three heparan sulfate chains are present, significantly greater biological activity is observed than is predicted by the sum of the activities occurring when the chains act individually. This synergy provides a functional basis for the evolutionary conservation of the three heparan sulfate attachment sites on syndecans and supports the idea that molecular heterogeneity, which is characteristic of proteoglycans, contributes to their functional diversity."
12902511.0,"Plasminogen activator inhibitor-1 supports IL-8-mediated neutrophil transendothelial migration by inhibition of the constitutive shedding of endothelial IL-8/heparan sulfate/syndecan-1 complexes.. The endothelium is the primary barrier to leukocyte recruitment at sites of inflammation. Neutrophil recruitment is directed by transendothelial gradients of IL-8 that, in vivo, are bound to the endothelial cell surface. We have investigated the identity and function of the binding site(s) in an in vitro model of neutrophil transendothelial migration. In endothelial culture supernatants, IL-8 was detected in a trimolecular complex with heparan sulfate and syndecan-1. Constitutive shedding of IL-8 in this form was increased in the presence of a neutralizing Ab to plasminogen activator inhibitor-1 (PAI-1), indicating a role for endothelial plasminogen activator in the shedding of IL-8. Increased shedding of IL-8/heparan sulfate/syndecan-1 complexes was accompanied by inhibition of neutrophil transendothelial migration, and aprotinin, a potent plasmin inhibitor, reversed this inhibition. Platelets, added as an exogenous source of PAI-1, had no effect on shedding of the complexes or neutrophil migration. Our results indicate that IL-8 is immobilized on the endothelial cell surface through binding to syndecan-1 ectodomains, and that plasmin, generated by endothelial plasminogen activator, induces the shedding of this form of IL-8. PAI-1 appears to stabilize the chemoattractant form of IL-8 at the cell surface and may represent a therapeutic target for novel anti-inflammatory strategies."
12975379.0,"Syndecan-1 transmembrane and extracellular domains have unique and distinct roles in cell spreading.. Raji cells expressing syndecan-1 (Raji-S1) adhere and spread when plated on heparan sulfate-binding extracellular matrix ligands or monoclonal antibody 281.2, an antibody directed against the syndecan-1 extracellular domain. Cells plated on monoclonal antibody 281.2 initially extend a broad lamellipodium, a response accompanied by membrane ruffling at the cell margin. Membrane ruffling then becomes polarized, leading to an elongated cell morphology. Previous work demonstrated that the syndecan-1 cytoplasmic domain is not required for these activities, suggesting important roles for the syndecan-1 transmembrane and/or extracellular domains in the assembly of a signaling complex necessary for spreading. Work described here demonstrates that truncation of the syndecan-1 extracellular domain does not affect the initial lamellipodial extension in the Raji-S1 cells but does inhibit the active membrane ruffling that is necessary for cell polarization. Replacement of the entire syndecan-1 transmembrane domain with leucine residues completely blocks the cell spreading. These data demonstrate that the syndecan-1 transmembrane and extracellular domains have important but distinct roles in Raji-S1 cell spreading; the extracellular domain mediates an interaction that is necessary for dynamic cytoskeletal rearrangements whereas an interaction of the transmembrane domain is required for the initial spreading response."
14972511.0,"Syndecan-1 expression in locally invasive and metastatic prostate cancer.. To determine the significance of syndecan-1 expression, a cell-surface heparan sulfate proteoglycan in localized and metastatic prostate cancer."
15728209.0,"Syndecan-1 is involved in osteoprotegerin-induced chemotaxis in human peripheral blood monocytes.. Chronic inflammation is characterized by tissue infiltration with monocytes/macrophages, which possess broad proinflammatory, destructive, and remodeling capacities. Elevated levels of osteoprotegerin, an important regulator of differentiation and activation of osteoclasts that also affects different cells of the immune system, were found in the serum of patients with chronic inflammatory diseases. The study of whether osteoprotegerin affects monocyte locomotion in vitro and the possible mechanisms and pathways involved was investigated using Boyden microchemotaxis chambers and Western blot analyses. Osteoprotegerin significantly stimulated monocyte chemotaxis, whereas preincubation of monocytes with osteoprotegerin inhibited monocyte migration toward optimal concentrations of regulated upon activation normal T cell expressed and secreted, monocyte chemotactic protein -1, and procalcitonin. The effects of osteoprotegerin were abolished by pretreating cells with heparinase I and chondroitinase or antibodies against the ectodomain of syndecan-1. Osteoprotegerin signaling was shown to involve protein kinase C, phosphatidylinositol 3-kinase/Akt, and tyrosine kinase. Data suggest that osteoprotegerin affects monocyte mi-gration and protein kinase C and phosphatidylinositol 3-kinase/Akt activation via syndecan-1. Osteoprotegerin-induced deactivation of monocyte chemotaxis toward different chemokines is due to interaction of osteoprotegerin with heparan sulfate and chondroitin sulfate."
18179784.0,"MEGF10 association with schizophrenia.. The 5q21-31 region has been implicated as harboring risk genes for schizophrenia in many linkage studies. In our previous report of stepwise fine mapping of this region, the MEGF10 gene was one of the genes showing consistent associations in our screening subsample. In this study, we carried out independent replication and expression studies of the MEGF10 gene."
18182846.0,"Overexpression of SOX15 inhibits proliferation of NT2/D1 cells derived from a testicular embryonal cell carcinoma.. SOX (Sry-related HMG box) family proteins, which have an evolutionarily conserved DNA binding domain, have crucial roles in cell differentiation. However, their target genes remain enigmatic. Some members of the SOX family may have roles in regulation of cell proliferation. We established stable NT2/D1 cell lines overexpressing SOX15 (SOX15-NT2/D1), and a modified 3-(4,5-dime-thylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT) assay showed that the SOX15-NT2/D1 cells exhibited significantly slower growth than the controls. Flow cytometry analysis revealed that an increased fraction of the SOX15-NT2/D1 cells were in G1-G0. In addition, a microarray analysis identified 26 genes that were up-regulated in the SOX15-NT2/D1 cells, but none that were down-regulated genes. Among the up-regulated genes, IGFBP5, S100A4, ID2, FABP5, MTSS1, PDCD4 have been shown to be related to cell proliferation and/or the cell cycle."
18378436.0,"Adhesion and protease activity in cell lines from human salivary gland tumors are regulated by the laminin-derived peptide AG73, syndecan-1 and beta1 integrin.. We studied the induction of protease activity by the laminin alpha1-derived peptide AG73 in cells from adenoid cystic carcinoma (CAC2) and myoepithelioma (M1), respectively a malignant and a benign salivary gland tumors. Laminin alpha1 chain and MMP9 were immunolocalized in adenoid cystic carcinoma and myoepithelioma in vivo and in vitro. Cells grown inside AG73-enriched laminin-111 exhibited large spaces in the extracellular matrix, suggestive of remodeling. The broad spectrum MMP inhibitor GM6001 decreased spaces induced by AG73 in CAC2 and M1 cells. This result strongly suggests that AG73-mediated matrix remodeling involves matrix metalloproteinases. CAC2 and M1 cells cultured on AG73 showed a dose-dependent increase of MMP9 secretion, as detected by zymography. Furthermore, siRNA silencing of MMP9 decreased remodeling in 3D cultures. We searched for AG73 receptors regulating MMP9 activity in our cell lines. CAC2 and M1 cells grown on AG73 exhibited colocalization of syndecan-1 and beta1 integrin. siRNA knockdown of syndecan-1 expression in these cells resulted in decreased adhesion to AG73 and reduced protease and remodeling activity. We investigated syndecan-1 co-receptors in both cell lines. Silencing beta1 integrin inhibited adhesion to AG73, matrix remodeling and protease activity. Double-knockdown experiments were carried out to further explore syndecan-1 and beta1 integrin cooperation. CAC2 cells transfected with both syndecan-1 and beta1 integrin siRNA oligos showed significant decrease in adhesion to AG73. Simultaneous silencing of receptors also induced a decrease in protease activity. Our results suggest that syndecan-1 and beta1 integrin signaling downstream of AG73 regulate adhesion and MMP production by CAC2 and M1 cells."
20181947.0,"Interaction of syndecan and alpha6beta4 integrin cytoplasmic domains: regulation of ErbB2-mediated integrin activation.. The alpha6beta4 integrin is a laminin 332 (LN332) receptor central to the formation of hemidesmosomes in epithelial layers. However, the integrin becomes phosphorylated by keratinocytes responding to epidermal growth factor in skin wounds or by squamous cell carcinomas that overexpress/hyperactivate the tyrosine kinase ErbB2, epidermal growth factor receptor, or c-Met. We show here that the beta4-dependent signaling in A431 human squamous carcinoma cells is dependent on the syndecan family of matrix receptors. Yeast two-hybrid analysis identifies an interaction within the distal third (amino acids 1473-1752) of the beta4 cytoplasmic domain and the conserved C2 region of the syndecan cytoplasmic domain. Via its C2 region, Sdc1 forms a complex with the alpha6beta4 integrin along with the receptor tyrosine kinase ErbB2 and the cytoplasmic kinase Fyn in A431 cells. Engagement of LN332 or clustering of the alpha6beta4 integrin with integrin-specific antibodies causes phosphorylation of ErbB2, Fyn, and the beta4 subunit as well as activation of phosphatidylinositol 3-kinase and Akt and their assimilation into this complex. This leads to phosphatidylinositol 3-kinase-dependent cell spreading and Akt-dependent protection from apoptosis. This is disrupted by RNA interference silencing of Sdc1 but can be rescued by mouse Sdc1 or Sdc4 but not by syndecan mutants lacking their C-terminal C2 region. This disruption does not prevent the phosphorylation of ErbB2 or Fyn but blocks the Fyn-mediated phosphorylation of the beta4 tail. We propose that syndecans engage the distal region of the beta4 cytoplasmic domain and bring it to the plasma membrane, where it can be acted upon by Src family kinases."
